name,county,sosid
1B,Clarke,0591B
1C,Clarke,0591C
1D,Clarke,0591D
2A,Clarke,0592A
2B,Clarke,0592B
3A,Clarke,0593A
3B,Clarke,0593B
4A,Clarke,0594A
4B,Clarke,0594B
5A,Clarke,0595A
5B,Clarke,0595B
5C,Clarke,0595C
5D,Clarke,0595D
6A,Clarke,0596A
6B,Clarke,0596B
6C,Clarke,0596C
6D,Clarke,0596D
7A,Clarke,0597A
7B,Clarke,0597B
7C,Clarke,0597C
8A,Clarke,0598A
8B,Clarke,0598B
8C,Clarke,0598C
Bluffton,Clay,0611
Zetto,Clay,0612
Court House,Clay,0613
Old Head Start,Clay,0614
Days Cross Road,Clay,0615
Ellenwood 1,Clayton,063EW1
Ellenwood 2,Clayton,063EW2
Forest Park 1,Clayton,063FP1
Forest Park 2,Clayton,063FP2
Forest Park 3,Clayton,063FP3
Forest Park 4,Clayton,063FP4
Forest Park 5,Clayton,063FP5
Forest Park 6,Clayton,063FP6
Jonesboro 1,Clayton,063JB01
Jonesboro 2,Clayton,063JB02
Jonesboro 3,Clayton,063JB03
Jonesboro 4,Clayton,063JB04
Jonesboro 5,Clayton,063JB05
Jonesboro 6,Clayton,063JB06
Jonesboro 7,Clayton,063JB07
Jonesboro 8,Clayton,063JB08
Jonesboro 9,Clayton,063JB09
Jonesboro 10,Clayton,063JB10
Jonesboro 11,Clayton,063JB11
Jonesboro 12,Clayton,063JB12
Jonesboro 13,Clayton,063JB13
Jonesboro 14,Clayton,063JB14
Jonesboro 15,Clayton,063JB15
Jonesboro 16,Clayton,063JB16
Jonesboro 17,Clayton,063JB17
Jonesboro 18,Clayton,063JB18
Jonesboro 19,Clayton,063JB19
Lake City,Clayton,063LC1
Lovejoy 1,Clayton,063LJ1
Lovejoy 2,Clayton,063LJ2
Lovejoy 3,Clayton,063LJ3
Lovejoy 4,Clayton,063LJ4
Lovejoy 5,Clayton,063LJ5
Lovejoy 6,Clayton,063LJ6
Lovejoy 7,Clayton,063LJ7
Morrow 1,Clayton,063MO1
Morrow 2,Clayton,063MO2
Morrow 3,Clayton,063MO3
Morrow 4,Clayton,063MO4
Morrow 5,Clayton,063MO5
Morrow 6,Clayton,063MO6
Morrow 7,Clayton,063MO7
Morrow 8,Clayton,063MO8
Morrow 9,Clayton,063MO9
Morrow 10,Clayton,063MO10
Morrow 11,Clayton,063MO11
Oak 1,Clayton,063OAK1
Oak 2,Clayton,063OAK2
Oak 3,Clayton,063OAK3
Oak 4,Clayton,063OAK4
Oak 5,Clayton,063OAK5
Panhandle 1,Clayton,063PH1
Panhandle 2,Clayton,063PH2
Riverdale 1,Clayton,063RD01
Riverdale 2,Clayton,063RD02
Riverdale 3,Clayton,063RD03
Riverdale 4,Clayton,063RD04
Riverdale 5,Clayton,063RD05
Riverdale 6,Clayton,063RD06
Riverdale 7,Clayton,063RD07
Riverdale 8,Clayton,063RD08
Riverdale 9,Clayton,063RD09
Riverdale 10,Clayton,063RD10
Riverdale 11,Clayton,063RD11
Riverdale 12,Clayton,063RD12
Arabia,Clinch,065AB
Argyle,Clinch,065AG
Dupont,Clinch,065D
Fargo,Clinch,065F
Homerville,Clinch,065H
Acworth 1A,Cobb,067AC1A
Acworth 1B,Cobb,067AC1B
Acworth 1C,Cobb,067AC1C
Addison 01,Cobb,067AD01
Austell 1A,Cobb,067AU1A
Bells Ferry 02,Cobb,067BF02
Bells Ferry 03,Cobb,067BF03
Bells Ferry 04,Cobb,067BF04
Big Shanty 01,Cobb,067BG01
Big Shanty 02,Cobb,067BG02
Baker 01,Cobb,067BK01
Birney 01,Cobb,067BR01
Birney 02,Cobb,067BR02
Bryant 01,Cobb,067BT01
Bryant 02,Cobb,067BT02
Blackwell 01,Cobb,067BW01
Chattahoochee 01,Cobb,067CA01
Cheatham Hill 02,Cobb,067CH02
Cheatham Hill 03,Cobb,067CH03
Chalker 01,Cobb,067CK01
Clarkdale 01,Cobb,067CL01
Clarkdale 02,Cobb,067CL02
Cooper 01,Cobb,067CO01
Chestnut Ridge 01,Cobb,067CR01
Dickerson 01,Cobb,067DC01
Dobbins 01,Cobb,067DI01
Dobbins 02,Cobb,067DI02
Dowell 01,Cobb,067DL01
Dodgen 01,Cobb,067DO01
Durham 01,Cobb,067DU01
Davis 01,Cobb,067DV01
Eastside 01,Cobb,067EA01
Eastside 02,Cobb,067EA02
Elizabeth 01,Cobb,067EL01
Elizabeth 02,Cobb,067EL02
Elizabeth 03,Cobb,067EL03
